ID;POTENCIA;NRESIDENTES;TIPOVIVIENDA;PROVINCIA;MES;PREDICCION_CONSUMO;PREDICCION_PRECIO;COSTE_POTENCIA;COSTE_ESTIMADO;FECHA_PREDICCION
116;4.7;2.7;Piso;CANTABRIA;2025-05;249.82;99.4734;467.52;24850.44;2025-04-20
117;3.5;3.7;Adosado;VALENCIA;2025-07;406.79;92.9761;325.42;37821.75;2025-04-20
118;5.1;2.8;Casa Unifamiliar;ZAMORA;2025-07;532.63;369.2988;1883.42;196699.62;2025-04-20
119;4.1;3.4;Adosado;CORDOBA;2025-08;338.98;74.9728;307.39;25414.28;2025-04-20
120;6.2;2.1;Duplex;ILLES BALEARS;2025-05;374.78;221.8078;1375.21;83129.13;2025-04-20
121;5.6;3.1;Casa Unifamiliar;SORIA;2025-10;594.42;198.6128;1112.23;118059.42;2025-04-20
122;4.1;3.0;Casa Unifamiliar;MURCIA;2025-05;542.97;67.8882;278.34;36861.26;2025-04-20
123;6.1;2.8;Adosado;VALENCIA;2025-10;315.9;71.1094;433.77;22463.46;2025-04-20
124;5.3;3.4;Piso;GUADALAJARA;2025-10;264.21;77.9616;413.2;20598.23;2025-04-20
125;4.9;4.3;Duplex;PONTEVEDRA;2025-09;435.19;73.8796;362.01;32151.66;2025-04-20
126;5.7;3.0;Casa Unifamiliar;HUELVA;2025-07;439.85;91.5188;521.66;40254.54;2025-04-20
127;4.3;4.6;Casa Unifamiliar;SANTA CRUZ DE TENERIFE;2025-05;601.73;54.8141;235.7;32983.29;2025-04-20
128;6.4;4.7;Duplex;ZAMORA;2025-07;370.78;73.5756;470.88;27280.36;2025-04-20
129;3.7;3.5;Adosado;MALAGA;2025-08;392.92;360.359;1333.33;141592.26;2025-04-20
130;5.1;3.5;Casa Unifamiliar;CUENCA;2025-08;593.55;325.9999;1662.6;193497.24;2025-04-20
131;5.2;3.9;Adosado;PONTEVEDRA;2025-05;403.89;371.5103;1931.85;150049.3;2025-04-20
132;3.7;3.4;Duplex;BADAJOZ;2025-05;444.7;74.7163;276.45;33226.34;2025-04-20
133;4.5;2.8;Adosado;OURENSE;2025-10;321.64;31.2766;140.74;10059.81;2025-04-20
134;5.2;2.6;Casa Unifamiliar;ALICANTE;2025-07;591.61;56.5571;294.1;33459.75;2025-04-20
135;4.5;3.7;Casa Unifamiliar;LUGO;2025-07;453.67;79.7266;358.77;36169.57;2025-04-20
136;3.4;4.5;Duplex;LUGO;2025-09;355.78;252.3516;858.0;89781.65;2025-04-20
137;4.0;4.6;Duplex;A CORUÑA;2025-06;381.23;89.2634;357.05;34029.89;2025-04-20
138;3.6;2.6;Casa Unifamiliar;CASTELLON;2025-08;523.61;87.4196;314.71;45773.78;2025-04-20
139;5.4;2.0;Piso;BADAJOZ;2025-06;304.87;86.6148;467.72;26406.25;2025-04-20
140;6.2;2.1;Adosado;HUELVA;2025-09;399.28;424.6591;2632.89;169557.89;2025-04-20
141;6.4;4.7;Piso;LA RIOJA;2025-06;179.17;359.8421;2302.99;64472.91;2025-04-20
142;6.3;3.8;Adosado;AVILA;2025-09;401.95;68.9756;434.55;27724.74;2025-04-20
143;3.7;3.1;Adosado;AVILA;2025-09;289.71;82.5546;305.45;23916.89;2025-04-20
144;3.8;4.6;Casa Unifamiliar;MADRID;2025-10;603.24;62.9158;239.08;37953.33;2025-04-20
145;4.6;4.9;Duplex;SANTA CRUZ DE TENERIFE;2025-08;453.33;79.7904;367.04;36171.38;2025-04-20
146;6.4;3.0;Adosado;ILLES BALEARS;2025-10;400.55;283.652;1815.37;113616.81;2025-04-20
147;5.8;3.8;Adosado;CIUDAD REAL;2025-07;325.46;99.6328;577.87;32426.49;2025-04-20
148;3.5;4.0;Casa Unifamiliar;SALAMANCA;2025-08;510.27;81.4019;284.91;41536.95;2025-04-20
149;4.9;3.3;Casa Unifamiliar;ALICANTE;2025-06;602.09;93.1954;456.66;56112.02;2025-04-20
150;3.3;2.4;Piso;TARRAGONA;2025-03;280.19;190.2355;627.78;53302.08;2025-04-20
151;6.4;3.7;Casa Unifamiliar;SEGOVIA;2025-10;591.77;62.0944;397.4;36745.6;2025-04-20
152;3.5;4.7;Piso;GUADALAJARA;2025-09;198.69;91.2827;319.49;18136.96;2025-04-20
153;4.3;3.4;Casa Unifamiliar;ZAMORA;2025-09;600.54;221.0142;950.36;132727.87;2025-04-20
154;5.0;2.5;Piso;HUESCA;2025-10;298.73;193.4199;967.1;57780.33;2025-04-20
155;6.2;3.1;Adosado;SANTA CRUZ DE TENERIFE;2025-03;392.38;38.4053;238.11;15069.47;2025-04-20
156;3.4;4.5;Adosado;HUESCA;2025-04;397.42;95.7637;325.6;38058.41;2025-04-20
157;4.9;4.2;Piso;PONTEVEDRA;2025-03;288.68;198.8562;974.4;57405.81;2025-04-20
158;6.3;4.8;Casa Unifamiliar;VALLADOLID;2025-10;596.55;44.0839;277.73;26298.25;2025-04-20
159;3.5;4.3;Piso;CIUDAD REAL;2025-04;305.11;86.0085;301.03;26242.05;2025-04-20
160;6.5;3.4;Duplex;NAVARRA;2025-08;397.59;54.1;351.65;21509.62;2025-04-20
161;5.4;2.4;Casa Unifamiliar;NAVARRA;2025-08;607.09;75.8716;409.71;46060.89;2025-04-20
162;4.6;4.3;Adosado;A CORUÑA;2025-10;404.35;50.585;232.69;20454.04;2025-04-20
163;5.9;2.5;Duplex;MADRID;2025-05;427.53;92.7635;547.3;39659.18;2025-04-20
164;3.5;2.0;Casa Unifamiliar;CUENCA;2025-04;590.98;38.7301;135.56;22888.71;2025-04-20
165;5.6;2.5;Casa Unifamiliar;LUGO;2025-06;594.47;59.8096;334.93;35555.01;2025-04-20
166;4.5;3.7;Casa Unifamiliar;CUENCA;2025-03;491.03;44.0898;198.4;21649.41;2025-04-20
167;5.1;3.5;Duplex;SALAMANCA;2025-09;439.12;84.1466;429.15;36950.45;2025-04-20
168;5.9;2.7;Piso;ALAVA;2025-09;193.77;65.5844;386.95;12708.29;2025-04-20
169;4.1;4.1;Piso;CASTELLON;2025-05;274.22;188.9921;774.87;51825.41;2025-04-20
170;6.0;2.6;Adosado;TOLEDO;2025-10;372.49;67.8109;406.87;25258.88;2025-04-20
171;5.6;4.5;Casa Unifamiliar;SORIA;2025-03;464.81;484.2313;2711.7;225075.55;2025-04-20
172;5.9;3.1;Duplex;GIRONA;2025-10;452.49;61.6687;363.85;27904.47;2025-04-20
173;5.7;2.3;Casa Unifamiliar;ZAMORA;2025-03;600.53;73.5926;419.48;44194.56;2025-04-20
174;6.4;3.6;Adosado;AVILA;2025-08;346.83;115.4442;738.84;40039.51;2025-04-20
175;6.2;3.7;Adosado;BURGOS;2025-05;311.49;107.9551;669.32;33626.93;2025-04-20
176;4.4;3.6;Adosado;GRANADA;2025-04;316.03;180.9221;796.06;57176.81;2025-04-20
177;5.7;3.1;Duplex;ALBACETE;2025-08;449.73;194.2078;1106.98;87341.07;2025-04-20
178;6.4;4.5;Adosado;HUELVA;2025-07;250.56;156.679;1002.75;39257.49;2025-04-20
179;4.0;5.0;Piso;BARCELONA;2025-05;211.76;107.7526;431.01;22817.69;2025-04-20
180;6.6;2.9;Duplex;PONTEVEDRA;2025-06;401.08;73.3518;484.12;29419.94;2025-04-20
181;3.9;3.1;Adosado;CIUDAD REAL;2025-06;386.77;171.8558;670.24;66468.67;2025-04-20
182;4.2;4.0;Adosado;BURGOS;2025-06;396.19;66.1147;277.68;26193.98;2025-04-20
183;6.2;4.9;Piso;VALLADOLID;2025-04;236.04;66.54;412.55;15706.1;2025-04-20
184;5.0;3.3;Adosado;CASTELLON;2025-07;308.34;93.861;469.3;28941.1;2025-04-20
185;4.9;3.1;Adosado;MURCIA;2025-07;330.71;59.8659;293.34;19798.25;2025-04-20
186;6.1;4.2;Piso;BADAJOZ;2025-05;270.95;57.975;353.65;15708.33;2025-04-20
187;4.5;2.6;Casa Unifamiliar;TOLEDO;2025-10;571.69;94.6062;425.73;54085.42;2025-04-20
188;4.2;2.1;Duplex;BADAJOZ;2025-07;446.36;40.9307;171.91;18269.83;2025-04-20
189;5.5;4.7;Adosado;MURCIA;2025-09;306.08;90.7188;498.95;27767.21;2025-04-20
190;5.8;4.7;Casa Unifamiliar;JAEN;2025-07;556.36;87.8014;509.25;48849.19;2025-04-20
191;4.8;3.1;Duplex;ALICANTE;2025-04;451.29;80.4878;386.34;36323.34;2025-04-20
192;4.9;3.5;Casa Unifamiliar;LEON;2025-09;571.04;65.2872;319.91;37281.6;2025-04-20
193;5.9;3.8;Duplex;ALAVA;2025-10;416.77;62.6093;369.39;26093.68;2025-04-20
194;5.2;4.9;Casa Unifamiliar;GRANADA;2025-08;565.71;99.8057;518.99;56461.08;2025-04-20
195;4.3;3.9;Casa Unifamiliar;TARRAGONA;2025-07;572.13;190.7831;820.37;109152.74;2025-04-20
196;3.7;4.5;Casa Unifamiliar;SEVILLA;2025-04;596.35;500.4774;1851.77;298459.7;2025-04-20
197;4.8;2.7;Duplex;HUELVA;2025-05;455.27;93.6742;449.64;42647.05;2025-04-20
198;5.7;2.2;Duplex;BARCELONA;2025-03;425.61;68.8835;392.64;29317.51;2025-04-20
199;4.3;4.6;Casa Unifamiliar;ASTURIAS;2025-06;533.86;266.524;1146.05;142286.5;2025-04-20
200;6.4;5.0;Adosado;GUADALAJARA;2025-05;307.42;74.4026;476.18;22872.85;2025-04-20
201;3.5;2.4;Casa Unifamiliar;VALENCIA;2025-09;595.56;50.813;177.85;30262.19;2025-04-20
202;6.3;3.3;Adosado;JAEN;2025-04;314.22;86.1711;542.88;27076.68;2025-04-20
203;6.5;4.4;Piso;MADRID;2025-04;280.48;64.9833;422.39;18226.52;2025-04-20
204;4.8;5.0;Piso;CANTABRIA;2025-04;217.09;200.1214;960.58;43444.35;2025-04-20
205;3.5;4.1;Piso;PONTEVEDRA;2025-09;206.83;99.7318;349.06;20627.53;2025-04-20
206;4.8;3.6;Casa Unifamiliar;BARCELONA;2025-05;591.2;83.0811;398.79;49117.55;2025-04-20
207;5.0;3.4;Adosado;SEVILLA;2025-07;342.94;42.4566;212.28;14560.07;2025-04-20
208;5.3;2.3;Piso;CIUDAD REAL;2025-04;303.09;80.9095;428.82;24522.86;2025-04-20
209;4.7;3.9;Adosado;JAEN;2025-04;372.34;68.8126;323.42;25621.68;2025-04-20
210;5.5;2.7;Duplex;SEVILLA;2025-04;446.98;79.8635;439.25;35697.39;2025-04-20
211;5.2;4.4;Casa Unifamiliar;PONTEVEDRA;2025-08;478.12;69.763;362.77;33355.09;2025-04-20
212;4.1;2.0;Casa Unifamiliar;ALICANTE;2025-04;524.09;93.3858;382.88;48942.56;2025-04-20
213;4.1;2.7;Piso;CORDOBA;2025-09;226.12;372.0033;1525.21;84117.39;2025-04-20
214;4.1;3.1;Piso;SORIA;2025-05;294.76;44.4188;182.12;13092.89;2025-04-20
215;4.0;2.5;Duplex;ALAVA;2025-09;380.77;43.2315;172.93;16461.26;2025-04-20
216;3.7;2.7;Casa Unifamiliar;LEON;2025-04;471.25;68.5501;253.64;32304.23;2025-04-20
217;4.0;2.9;Duplex;MADRID;2025-07;449.52;76.7213;306.89;34487.76;2025-04-20
218;3.7;3.5;Piso;TARRAGONA;2025-09;255.93;74.7176;276.46;19122.48;2025-04-20
219;4.0;4.3;Piso;GRANADA;2025-07;260.39;500.2923;2001.17;130271.11;2025-04-20
220;4.1;4.4;Adosado;CASTELLON;2025-08;302.44;79.0769;324.22;23916.02;2025-04-20
221;6.1;2.3;Piso;MADRID;2025-06;211.78;339.5992;2071.56;71920.32;2025-04-20
222;5.3;3.5;Duplex;MADRID;2025-08;453.26;70.4423;373.34;31928.68;2025-04-20
223;5.2;4.4;Piso;GIRONA;2025-10;231.53;42.7474;222.29;9897.31;2025-04-20
224;4.9;3.6;Casa Unifamiliar;TERUEL;2025-09;583.98;208.1978;1020.17;121583.35;2025-04-20
225;6.5;3.3;Piso;TERUEL;2025-09;276.16;71.9984;467.99;19883.08;2025-04-20
226;6.6;4.5;Adosado;BARCELONA;2025-05;386.11;63.9992;422.39;24710.73;2025-04-20
227;4.7;2.2;Casa Unifamiliar;LA RIOJA;2025-06;608.89;57.5585;270.52;35046.8;2025-04-20
228;5.9;3.1;Adosado;SEGOVIA;2025-06;407.18;109.3934;645.42;44542.8;2025-04-20
229;6.4;4.4;Duplex;NAVARRA;2025-06;403.12;159.1662;1018.66;64163.08;2025-04-20
230;5.7;4.2;Adosado;ZARAGOZA;2025-03;404.5;91.5086;521.6;37015.23;2025-04-20
231;6.5;2.2;Casa Unifamiliar;CORDOBA;2025-04;576.78;323.1958;2100.77;186412.87;2025-04-20
232;6.2;2.9;Piso;CUENCA;2025-07;301.94;68.6973;425.92;20742.46;2025-04-20
233;6.3;2.2;Casa Unifamiliar;JAEN;2025-06;599.94;177.0485;1115.41;106218.48;2025-04-20
234;5.0;4.8;Casa Unifamiliar;BARCELONA;2025-04;607.32;64.2593;321.3;39025.96;2025-04-20
235;4.5;4.1;Piso;LEON;2025-10;265.31;69.178;311.3;18353.62;2025-04-20
236;5.7;3.0;Casa Unifamiliar;HUELVA;2025-05;443.86;192.0978;1094.96;85264.53;2025-04-20
237;4.3;4.0;Adosado;TOLEDO;2025-04;290.04;180.7166;777.08;52415.04;2025-04-20
238;6.5;4.4;Duplex;SALAMANCA;2025-10;453.86;71.2631;463.21;32343.47;2025-04-20
239;4.0;4.2;Duplex;AVILA;2025-05;358.61;49.8838;199.54;17888.83;2025-04-20
240;6.1;3.0;Adosado;VALENCIA;2025-07;406.15;62.644;382.13;25442.86;2025-04-20
241;6.0;3.3;Adosado;BADAJOZ;2025-04;319.51;76.8462;461.08;24553.13;2025-04-20
242;5.1;3.7;Casa Unifamiliar;SEGOVIA;2025-10;519.87;67.8298;345.93;35262.68;2025-04-20
243;4.5;2.1;Casa Unifamiliar;ALBACETE;2025-09;534.09;77.1386;347.12;41198.95;2025-04-20
244;5.2;4.3;Duplex;LLEIDA;2025-10;443.94;36.8755;191.75;16370.51;2025-04-20
245;3.9;4.7;Casa Unifamiliar;ZAMORA;2025-07;475.25;64.3656;251.03;30589.75;2025-04-20
246;3.4;2.5;Adosado;AVILA;2025-05;383.9;376.8505;1281.29;144672.91;2025-04-20
247;4.4;2.5;Casa Unifamiliar;SEVILLA;2025-10;568.18;94.7194;416.77;53817.67;2025-04-20
248;5.5;3.2;Piso;AVILA;2025-10;233.87;107.4729;591.1;25134.69;2025-04-20
249;6.3;3.7;Duplex;VALLADOLID;2025-09;450.66;109.7125;691.19;49443.04;2025-04-20
250;6.5;4.3;Duplex;ALAVA;2025-09;365.21;91.8739;597.18;33553.27;2025-04-20
251;4.8;4.2;Piso;ALAVA;2025-07;284.74;93.2284;447.5;26545.85;2025-04-20
252;5.2;2.9;Casa Unifamiliar;CORDOBA;2025-07;448.46;52.6907;273.99;23629.67;2025-04-20
253;4.7;5.0;Piso;SORIA;2025-04;242.78;109.1781;513.14;26506.26;2025-04-20
254;3.6;4.9;Piso;LUGO;2025-09;192.42;61.9489;223.02;11920.21;2025-04-20
255;4.4;3.0;Casa Unifamiliar;CORDOBA;2025-09;502.62;85.1862;374.82;42816.29;2025-04-20
256;5.9;2.5;Adosado;BIZKAIA;2025-07;406.91;196.6895;1160.47;80034.92;2025-04-20
